name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
M249 | Aztec (Battle-Scarred),M249 | Aztec (Battle-Scarred),118,41,$0.41,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4896584856', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhhwszFI2kb092sgIWIqP_xMq3I2D4J7cdzjLGSoY2g3gzhqkprNzqlJ4fEegc6Ml3Z_AC-yOe-15G0vJrXiSw09cksokk', 'tradable': 1, 'name': 'M249 | Aztec (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted Machinegun', 'market_name': 'M249 | Aztec (Battle-Scarred)', 'market_hash_name': 'M249 | Aztec (Battle-Scarred)', 'commodity': 0}",$0.40
M249 | Aztec (Factory New),M249 | Aztec (Factory New),164,115,$1.15,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3574241779', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhhwszFI2kb092sgIWIqPv9NLPF2DMAuZIiibzDo933jQzk_UNvajz1IIXEclU8ZluF_gXtlO3s18K56cjXiSw0Ji5XUV8', 'tradable': 1, 'name': 'M249 | Aztec (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted Machinegun', 'market_name': 'M249 | Aztec (Factory New)', 'market_hash_name': 'M249 | Aztec (Factory New)', 'commodity': 0}",$1.10
M249 | Aztec (Field-Tested),M249 | Aztec (Field-Tested),330,49,$0.49,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3573748845', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhhwszFI2kb092sgIWIqPrxN7LEmyVUscYjjrDD9tWk2gO28hU9N271JIGcdFdvYA3R_wO5l-e-hpW97pvB1zI97QzJ1bQ2', 'tradable': 1, 'name': 'M249 | Aztec (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted Machinegun', 'market_name': 'M249 | Aztec (Field-Tested)', 'market_hash_name': 'M249 | Aztec (Field-Tested)', 'commodity': 0}",$0.47
M249 | Aztec (Minimal Wear),M249 | Aztec (Minimal Wear),188,74,$0.74,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902826383', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhhwszFI2kb092sgIWIqPv9NLPF2DMAuZIiibzDo933jQzk_UNvajz1IIXEclU8ZluF_gXtlO3s18K56cjXiSw0Ji5XUV8', 'tradable': 1, 'name': 'M249 | Aztec (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted Machinegun', 'market_name': 'M249 | Aztec (Minimal Wear)', 'market_hash_name': 'M249 | Aztec (Minimal Wear)', 'commodity': 0}",$0.71
M249 | Aztec (Well-Worn),M249 | Aztec (Well-Worn),83,46,$0.46,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901476792', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhhwszFI2kb092sgIWIqPrxN7LEmyVUscYjjrDD9tWk2gO28hU9N271JIGcdFdvYA3R_wO5l-e-hpW97pvB1zI97QzJ1bQ2', 'tradable': 1, 'name': 'M249 | Aztec (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted Machinegun', 'market_name': 'M249 | Aztec (Well-Worn)', 'market_hash_name': 'M249 | Aztec (Well-Worn)', 'commodity': 0}",$0.44
M249 | Blizzard Marbleized (Battle-Scarred),M249 | Blizzard Marbleized (Battle-Scarred),30,490,$4.90,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310786774', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhoyszKfTRY9t2kkL-DkvbiKvXXzm5X6cMp2r7Cot_23Fay-xJqaz-nLI6SdAQ_YFiGqVe3xru5h8Poot2Xnsw53lmX', 'tradable': 1, 'name': 'M249 | Blizzard Marbleized (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade Machinegun', 'market_name': 'M249 | Blizzard Marbleized (Battle-Scarred)', 'market_hash_name': 'M249 | Blizzard Marbleized (Battle-Scarred)', 'commodity': 0}",$4.69
M249 | Blizzard Marbleized (Factory New),M249 | Blizzard Marbleized (Factory New),2,11212,$112.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310777250', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhoyszKfTRY9t2kkL-HnvD8J_XVxD8GvZYhi-2YoYnw2lXkqEJqZ2jyItSde1BqYg7T8gC6wrq905W8ot2XnqjzBKae', 'tradable': 1, 'name': 'M249 | Blizzard Marbleized (Factory New)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade Machinegun', 'market_name': 'M249 | Blizzard Marbleized (Factory New)', 'market_hash_name': 'M249 | Blizzard Marbleized (Factory New)', 'commodity': 0}",$107.25
M249 | Blizzard Marbleized (Field-Tested),M249 | Blizzard Marbleized (Field-Tested),43,293,$2.93,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310777088', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhoyszKfTRY9t2kkL-GkvP9JraflDhX6sR03OrAoI2njVLg_Us6YmygdY-RI1Q6NFzW8gO7le3qhpa-6YOJlyWb0t7CKA', 'tradable': 1, 'name': 'M249 | Blizzard Marbleized (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade Machinegun', 'market_name': 'M249 | Blizzard Marbleized (Field-Tested)', 'market_hash_name': 'M249 | Blizzard Marbleized (Field-Tested)', 'commodity': 0}",$2.81
M249 | Blizzard Marbleized (Minimal Wear),M249 | Blizzard Marbleized (Minimal Wear),13,1196,$11.96,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310778586', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhoyszKfTRY9t2kkL-HnvD8J_XVxD8GvZYhi-2YoYnw2lXkqEJqZ2jyItSde1BqYg7T8gC6wrq905W8ot2XnqjzBKae', 'tradable': 1, 'name': 'M249 | Blizzard Marbleized (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade Machinegun', 'market_name': 'M249 | Blizzard Marbleized (Minimal Wear)', 'market_hash_name': 'M249 | Blizzard Marbleized (Minimal Wear)', 'commodity': 0}",$11.44
M249 | Blizzard Marbleized (Well-Worn),M249 | Blizzard Marbleized (Well-Worn),33,409,$4.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310788543', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhoyszKfTRY9t2kkL-GkvP9JraflDhX6sR03OrAoI2njVLg_Us6YmygdY-RI1Q6NFzW8gO7le3qhpa-6YOJlyWb0t7CKA', 'tradable': 1, 'name': 'M249 | Blizzard Marbleized (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade Machinegun', 'market_name': 'M249 | Blizzard Marbleized (Well-Worn)', 'market_hash_name': 'M249 | Blizzard Marbleized (Well-Worn)', 'commodity': 0}",$3.92
